Run	Assay Type	AssemblyName	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	population	ReleaseDate	create_date	version	Sample Name	SRA Study	Super_Population_Code	common_name	external_id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Sample_name	Scientific_Name	Submitter_Id
ERR3988938	WGS	JTFH01	300	116321563200	PRJEB36890	SAMEA6603750	9945310006	NYGC	public	run.zq,sra,cram	ncbi,gs,s3	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990803	Illumina NovaSeq 6000	HG01782	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	IBS	2020-04-24T00:00:00Z	2020-04-26T14:48:00Z	1	HG01782	ERP120144	EUR									
ERR3988939	WGS	GCA_000001405.24	300	115396640700	PRJEB36890	SAMEA6603751	9165972582	NYGC	public	run.zq,sra,cram	gs,s3,ncbi	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990804	Illumina NovaSeq 6000	HG01881	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-25T11:49:00Z	1	HG01881	ERP120144	AFR									
ERR3988940	WGS	JTFH01	300	116958342600	PRJEB36890	SAMEA6603752	10109369400	NYGC	public	sra,run.zq	ncbi,gs,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990805	Illumina NovaSeq 6000	HG01884	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-26T14:53:00Z	1	HG01884	ERP120144	AFR									
ERR3988941	WGS	JTFH01	300	119710600800	PRJEB36890	SAMEA6603753	10233697372	NYGC	public	sra,run.zq,cram	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990806	Illumina NovaSeq 6000	HG01887	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-29T04:19:00Z	1	HG01887	ERP120144	AFR									
ERR3988942	WGS	JTFH01	300	117547012500	PRJEB36890	SAMEA6603754	12660962585	NYGC	public	run.zq,sra	gs,ncbi,s3	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990807	Illumina NovaSeq 6000	HG01888	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-26T14:58:00Z	1	HG01888	ERP120144	AFR									
ERR3988943	WGS	JTFH01	300	114187692900	PRJEB36890	SAMEA6603755	10322131069	NYGC	public	cram,run.zq,sra	gs,s3,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990808	Illumina NovaSeq 6000	HG01891	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-28T22:43:00Z	1	HG01891	ERP120144	AFR									
ERR3988944	WGS	JTFH01	300	122871377400	PRJEB36890	SAMEA6603756	10451561723	NYGC	public	run.zq,sra	s3,ncbi,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990809	Illumina NovaSeq 6000	HG01895	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-26T16:07:00Z	1	HG01895	ERP120144	AFR									
ERR3988945	WGS	JTFH01	300	117561646200	PRJEB36890	SAMEA6603757	10094041573	NYGC	public	cram,run.zq,sra	ncbi,s3,gs	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990810	Illumina NovaSeq 6000	HG01897	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-26T15:45:00Z	1	HG01897	ERP120144	AFR									
ERR3988946	WGS	JTFH01	300	115213747500	PRJEB36890	SAMEA6603758	9587461575	NYGC	public	cram,sra,run.zq	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990811	Illumina NovaSeq 6000	HG01898	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-26T13:55:00Z	1	HG01898	ERP120144	AMR									
ERR3988947	WGS	JTFH01	300	109822484400	PRJEB36890	SAMEA6603759	10127525873	NYGC	public	sra,run.zq,cram	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990812	Illumina NovaSeq 6000	HG01916	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-28T19:04:00Z	1	HG01916	ERP120144	AFR									
ERR3988948	WGS	JTFH01	300	113308878300	PRJEB36890	SAMEA6603760	9527822321	NYGC	public	cram,run.zq,sra	gs,ncbi,s3	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990813	Illumina NovaSeq 6000	HG01919	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-26T15:22:00Z	1	HG01919	ERP120144	AMR									
ERR3988949	WGS	JTFH01	300	117124453800	PRJEB36890	SAMEA6603761	12286204767	NYGC	public	run.zq,sra	ncbi,s3,gs	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990814	Illumina NovaSeq 6000	HG01922	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-26T16:11:00Z	1	HG01922	ERP120144	AMR									
ERR3988950	WGS	JTFH01	300	120834522300	PRJEB36890	SAMEA6603762	10227075461	NYGC	public	sra,cram,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990815	Illumina NovaSeq 6000	HG01925	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-26T14:39:00Z	1	HG01925	ERP120144	AMR									
ERR3988951	WGS	JTFH01	300	118780645200	PRJEB36890	SAMEA6603763	10314189967	NYGC	public	cram,sra,run.zq	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990816	Illumina NovaSeq 6000	HG01928	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-26T14:33:00Z	1	HG01928	ERP120144	AMR									
ERR3988952	WGS	JTFH01	300	121591068900	PRJEB36890	SAMEA6603764	10352085870	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990817	Illumina NovaSeq 6000	HG01934	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-27T17:37:00Z	1	HG01934	ERP120144	AMR									
ERR3988953	WGS	JTFH01	300	115130940000	PRJEB36890	SAMEA6603765	12321536124	NYGC	public	cram,sra,run.zq	gs,s3,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990818	Illumina NovaSeq 6000	HG01937	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-29T21:42:00Z	1	HG01937	ERP120144	AMR									
ERR3988954	WGS	JTFH01	300	115652333100	PRJEB36890	SAMEA6603766	9601716664	NYGC	public	run.zq,cram,sra	s3,gs,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990819	Illumina NovaSeq 6000	HG01940	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-27T21:21:00Z	1	HG01940	ERP120144	AMR									
ERR3988955	WGS	JTFH01	300	110566086600	PRJEB36890	SAMEA6603767	9582092352	NYGC	public	run.zq,sra	ncbi,gs,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990820	Illumina NovaSeq 6000	HG01943	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-26T14:35:00Z	1	HG01943	ERP120144	AMR									
ERR3988956	WGS	JTFH01	300	118575548100	PRJEB36890	SAMEA6603768	10213872355	NYGC	public	run.zq,sra,cram	gs,s3,ncbi	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990821	Illumina NovaSeq 6000	HG01946	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-30T02:57:00Z	1	HG01946	ERP120144	AMR									
ERR3988957	WGS	JTFH01	300	113181942900	PRJEB36890	SAMEA6603769	11878661706	NYGC	public	run.zq,sra,cram	ncbi,s3,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990822	Illumina NovaSeq 6000	HG01949	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-28T15:02:00Z	1	HG01949	ERP120144	AMR									
ERR3988958	WGS	JTFH01	300	113746670100	PRJEB36890	SAMEA6603770	11878930844	NYGC	public	run.zq,cram,sra	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990823	Illumina NovaSeq 6000	HG01952	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-05-01T08:38:00Z	1	HG01952	ERP120144	AMR									
ERR3988959	WGS	JTFH01	300	120482141700	PRJEB36890	SAMEA6603771	10072048981	NYGC	public	sra,run.zq	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990824	Illumina NovaSeq 6000	HG01955	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-28T15:29:00Z	1	HG01955	ERP120144	AMR									
ERR3988960	WGS	JTFH01	300	114209310600	PRJEB36890	SAMEA6603772	11832877348	NYGC	public	run.zq,cram,sra	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990825	Illumina NovaSeq 6000	HG01959	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-30T00:42:00Z	1	HG01959	ERP120144	AFR									
ERR3988961	WGS	JTFH01	300	121095282000	PRJEB36890	SAMEA6603773	10231752551	NYGC	public	sra,run.zq,cram	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990826	Illumina NovaSeq 6000	HG01960	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-30T01:11:00Z	1	HG01960	ERP120144	AFR									
ERR3988962	WGS	JTFH01	300	117734654700	PRJEB36890	SAMEA6603774	9949934508	NYGC	public	sra,run.zq,cram	gs,ncbi,s3	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990827	Illumina NovaSeq 6000	HG01969	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-30T06:38:00Z	1	HG01969	ERP120144	AMR									
ERR3988963	WGS	JTFH01	300	117146098200	PRJEB36890	SAMEA6603775	10290857620	NYGC	public	cram,sra,run.zq	gs,ncbi,s3	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990828	Illumina NovaSeq 6000	HG01972	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-05-01T07:25:00Z	1	HG01972	ERP120144	AMR									
ERR3988964	WGS	JTFH01	300	119486241300	PRJEB36890	SAMEA6603776	10098032567	NYGC	public	cram,run.zq,sra	ncbi,s3,gs	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990829	Illumina NovaSeq 6000	HG01975	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-29T19:21:00Z	1	HG01975	ERP120144	AMR									
ERR3988965	WGS	JTFH01	300	124966936200	PRJEB36890	SAMEA6603777	10549066936	NYGC	public	run.zq,cram,sra	s3,ncbi,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990830	Illumina NovaSeq 6000	HG01978	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-30T00:47:00Z	1	HG01978	ERP120144	AMR									
ERR3988966	WGS	JTFH01	300	113916681000	PRJEB36890	SAMEA6603778	10502447297	NYGC	public	cram,run.zq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990831	Illumina NovaSeq 6000	HG01981	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-29T06:58:00Z	1	HG01981	ERP120144	AMR									
ERR3988967	WGS	JTFH01	300	138132170100	PRJEB36890	SAMEA6603779	12744128725	NYGC	public	cram,run.zq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990832	Illumina NovaSeq 6000	HG01983	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-30T02:23:00Z	1	HG01983	ERP120144	AMR									
ERR3988968	WGS	JTFH01	300	116871368400	PRJEB36890	SAMEA6603780	10381038103	NYGC	public	sra,run.zq	ncbi,gs,s3	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990833	Illumina NovaSeq 6000	HG01984	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-28T15:33:00Z	1	HG01984	ERP120144	AMR									
ERR3988969	WGS	JTFH01	300	116130510900	PRJEB36890	SAMEA6603781	10185890194	NYGC	public	cram,sra,run.zq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990834	Illumina NovaSeq 6000	HG01987	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-30T00:17:00Z	1	HG01987	ERP120144	AFR									
ERR3988970	WGS	JTFH01	300	113375027400	PRJEB36890	SAMEA6603782	11945322636	NYGC	public	sra,run.zq,cram	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990835	Illumina NovaSeq 6000	HG01993	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-28T16:48:00Z	1	HG01993	ERP120144	AMR									
ERR3988971	WGS	JTFH01	300	118557102300	PRJEB36890	SAMEA6603783	13024028324	NYGC	public	run.zq,cram,sra	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990836	Illumina NovaSeq 6000	HG01998	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-28T14:59:00Z	1	HG01998	ERP120144	AMR									
ERR3988972	WGS	JTFH01	300	115521015900	PRJEB36890	SAMEA6603784	11870480144	NYGC	public	sra,run.zq,cram	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990837	Illumina NovaSeq 6000	HG02004	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-30T01:09:00Z	1	HG02004	ERP120144	AMR									
ERR3988973	WGS	JTFH01	300	114074861100	PRJEB36890	SAMEA6603785	12104485666	NYGC	public	cram,run.zq,sra	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990838	Illumina NovaSeq 6000	HG02011	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-30T00:43:00Z	1	HG02011	ERP120144	AFR									
ERR3988974	WGS	JTFH01	300	118271589000	PRJEB36890	SAMEA6603786	12059546791	NYGC	public	sra,cram,run.zq	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990839	Illumina NovaSeq 6000	HG02015	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-28T15:03:00Z	1	HG02015	ERP120144	EAS									
ERR3988975	WGS	JTFH01	300	130477837800	PRJEB36890	SAMEA6603787	11596841515	NYGC	public	run.zq,sra	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990840	Illumina NovaSeq 6000	HG02018	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-28T16:27:00Z	1	HG02018	ERP120144	EAS									
ERR3988976	WGS	JTFH01	300	111919271700	PRJEB36890	SAMEA6603788	10339565763	NYGC	public	sra,cram,run.zq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990841	Illumina NovaSeq 6000	HG02024	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-28T16:25:00Z	1	HG02024	ERP120144	EAS									
ERR3988977	WGS	GCA_000001405.24	300	116040909600	PRJEB36890	SAMEA6603789	11568707797	NYGC	public	run.zq,cram,sra	gs,s3,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990842	Illumina NovaSeq 6000	HG02027	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T18:06:00Z	1	HG02027	ERP120144	EAS									
ERR3988978	WGS	GCA_000001405.24	300	112983400800	PRJEB36890	SAMEA6603790	9540178750	NYGC	public	sra,cram,run.zq	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990843	Illumina NovaSeq 6000	HG02030	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T17:42:00Z	1	HG02030	ERP120144	EAS									
ERR3988979	WGS	GCA_000001405.24	300	114554531700	PRJEB36890	SAMEA6603791	9804180639	NYGC	public	sra,cram,run.zq	gs,s3,ncbi	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990844	Illumina NovaSeq 6000	HG02055	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	ACB	2020-04-24T00:00:00Z	2020-04-25T16:41:00Z	1	HG02055	ERP120144	AFR									
ERR3988980	WGS	GCA_000001405.24	300	110798827200	PRJEB36890	SAMEA6603792	9414119004	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990845	Illumina NovaSeq 6000	HG02056	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T18:17:00Z	1	HG02056	ERP120144	EAS									
ERR3988981	WGS	GCA_000001405.24	300	116245912500	PRJEB36890	SAMEA6603793	10062150733	NYGC	public	sra,cram,run.zq	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990846	Illumina NovaSeq 6000	HG02059	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T16:05:00Z	1	HG02059	ERP120144	EAS									
ERR3988982	WGS	GCA_000001405.24	300	113091351600	PRJEB36890	SAMEA6603794	10739702415	NYGC	public	cram,sra,run.zq	gs,ncbi,s3	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990847	Illumina NovaSeq 6000	HG02068	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T17:27:00Z	1	HG02068	ERP120144	EAS									
ERR3988983	WGS	JTFH01	300	119457197700	PRJEB36890	SAMEA6603795	11597089690	NYGC	public	run.zq,cram,sra	gs,ncbi,s3	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990848	Illumina NovaSeq 6000	HG02071	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-29T01:42:00Z	1	HG02071	ERP120144	EAS									
ERR3988984	WGS	GCA_000001405.24	300	142697641500	PRJEB36890	SAMEA6603796	13046573492	NYGC	public	cram,run.zq,sra	ncbi,s3,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990849	Illumina NovaSeq 6000	HG02074	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T17:34:00Z	1	HG02074	ERP120144	EAS									
ERR3988985	WGS	GCA_000001405.24	300	132353858100	PRJEB36890	SAMEA6603797	10952510826	NYGC	public	sra,run.zq,cram	gs,ncbi,s3	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990850	Illumina NovaSeq 6000	HG02077	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-26T02:35:00Z	1	HG02077	ERP120144	EAS									
ERR3988986	WGS	JTFH01	300	115566136500	PRJEB36890	SAMEA6603798	10961597504	NYGC	public	sra,cram,run.zq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990851	Illumina NovaSeq 6000	HG02080	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-26T18:32:00Z	1	HG02080	ERP120144	EAS									
ERR3988987	WGS	GCA_000001405.24	300	114536268900	PRJEB36890	SAMEA6603799	9839799466	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990852	Illumina NovaSeq 6000	HG02083	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T16:43:00Z	1	HG02083	ERP120144	EAS									
ERR3988988	WGS	GCA_000001405.24	300	116728362000	PRJEB36890	SAMEA6603800	10001852042	NYGC	public	cram,run.zq,sra	ncbi,s3,gs	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990853	Illumina NovaSeq 6000	HG02091	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-26T04:00:00Z	1	HG02091	ERP120144	AMR									
ERR3988989	WGS	GCA_000001405.24	300	143542047000	PRJEB36890	SAMEA6603801	11744948026	NYGC	public	run.zq,cram,sra	s3,ncbi,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990854	Illumina NovaSeq 6000	HG02106	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	PEL	2020-04-24T00:00:00Z	2020-04-26T02:27:00Z	1	HG02106	ERP120144	AMR									
ERR3988990	WGS	GCA_000001405.24	300	115057075800	PRJEB36890	SAMEA6603802	9797101280	NYGC	public	cram,sra,run.zq	s3,gs,ncbi	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990855	Illumina NovaSeq 6000	HG02120	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T16:47:00Z	1	HG02120	ERP120144	EAS									
ERR3988991	WGS	GCA_000001405.24	300	119574954000	PRJEB36890	SAMEA6603803	10168095438	NYGC	public	cram,sra,run.zq	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990856	Illumina NovaSeq 6000	HG02126	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-25T16:35:00Z	1	HG02126	ERP120144	EAS									
ERR3988992	WGS	JTFH01	300	117984755400	PRJEB36890	SAMEA6603804	11281603045	NYGC	public	cram,sra,run.zq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990857	Illumina NovaSeq 6000	HG02129	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-28T20:37:00Z	1	HG02129	ERP120144	EAS									
ERR3988993	WGS	GCA_000001405.24	300	115105950600	PRJEB36890	SAMEA6603805	11311345755	NYGC	public	run.zq,cram,sra	gs,ncbi,s3	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990858	Illumina NovaSeq 6000	HG02132	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	KHV	2020-04-24T00:00:00Z	2020-04-26T01:57:00Z	1	HG02132	ERP120144	EAS									
